Name	Hindi_lang
Kutenai	कुटेनाई
Kuuku Ya'u	कुकु य'ु
Kuvi	कुवी
Kutai	कुताई
Kulamanen	कुलमनेन
Kwaio	क्वायो
Kwerba	कीर्बा
Kanjobal	कंजोबाल
Kwakw'ala	Kwakw'ala
Kwami	क्वामी
Kwangali	क्वांगाली
Kwoma	क्वामा
Kwamera	क्वामेरा
Kawaiisu	कवाइसु
Kwomtari	क्वोमटारी
Iwoyo	Iwoyo
Kwaza	क्वाजा
Kxoe	Kxoe
Kuku-Yalanji	कुकु-यालनजी
Kenyang	केनांग
Kyaka	काका
Kayah Li	काया ली
Krymchak	क्रिम्मक
Koyukon	कोयुकन
Kanyok	कान्योक
Kyuquot	Kyuquot
Karkar-Yuri	कर्कर-यूरी
Kaytej	कयतेज
Komi-Zyrian	कोमी-ज़िरियन
Laal	लल
Labu	लाबू
Ladakhi	लद्दाखी
Lafofa	लाफोफा
Lagwan	लगवान
Lahu	लहू
Lai	लाई
Lak	लक
Lalo	लालो
Lango	लैंगो
Lao	लाओ
Laragia	लरागिया
Latvian	लातवियाई
Lau	लाउ
Lavukaleve	लवकुलेव
Laz	लज
Lunda	लुंडा
Lachi	लाछी
Lesser Antillean French Creole	लेसर एंटिलियन फ्रेंच क्रियोल
Luganda	लुगंडा
Ladin	लादिन
Londo	लोंडो
Lendu	लेंडु
Lebeo	लेबेओ
Leko	लेको
Lega	लेगा
Lele	लेले
Lenakel	लेनकेल
Lepcha	लेपचा
Lese	झूठ बोलना
Leti	लेटि
Lewo	लेवो
Lezgian	Lezgian
Luangiua	लुआंगिया
Low German	कम जर्मन
Lughat al-Isharat al-Lubnaniya	लुघाट अल-इशरत अल-लुबनिया
Langi	लंगी
Logoti	लोगोती
Longgu	लोंगगु
Laha	लाहा
Lhomi	लोहमी
Hlai	Hlai
Lingua Italiana dei Segni	लिंगुआ इटालियन देई सेग्नि
Lillooet	Lillooet
Limbu	लिंबू
Lingala	लिंगाला
Lisu	लिसु
Lithuanian	लिथुआनियाई
Liv	लिव
Lauje	लाउजे
Lakkia	लक्किया
Lakhota	लखोटा
Lamu-Lamu	लमू-लमू
Lelemi	लेलेमी
Loma	लोमा
Lamba	लांबा
Lamang	लमंग
Lamaholot	लमाहोलोट
Limilngan	लिमिलगन
Lamani	लमानी
Lampung	लैम्पुंग
Lamen	लामेन
Linda	लिंडा
Lengua	लेंगुआ
Linngithig	लिनिंगिथिग
Ladino	लाडीनो
Lamnso'	लैम्नो
Lonwolwol	लोनावोलोल
Lobi	लोबी
Loko	लोको
Loniu	लोनिउ
Lotha	लोथा
Lou	लू
Loven	प्यार किया
Lozi	लोजी
Lardil	लार्डिल
Larike	लारिक
Lua	लुआ
Lucazi	लुकाज़ी
Lun Dayeh	लुन दयाह
Lugbara	लुगबारा
Lule	नियम
Lummi	लुम्मी
Lungchang	लुंगचांग
Luo	लुओ
Luri	लुरी
Lushootseed	रसीला लूट लिया
Luvale	लुवले
Luxemburgeois	लक्समबर्ग
Luyia	लुइया
Lyele	लाइले
Ma	मा
Maasai	मासाई
Maba	माबा
Macushi	मैकूशी
Ma'di	मैडी
Mae	माए
Magar	मगर
Mari	मारी
Maithili	मैथिली
Majang	मझंग
Makah	मका
Malagasy	मालागासी
Mam	मैम
Mano	मनो
Maori	माओरी
Mapudungun	मापुदुंगुन
Maricopa	मारीकोपा
Masa	मासा
Maung	मूँग
Maring	मार करना
Maninka	मणिन्का
Maybrat	मायब्रत
Mazahua	मझुआ
Mba	Mba
Mbabaram	मब्बाराम
Mbere	Mbere हैं
Mbugu	म्बुगु
Mbili	मैबिली
Mbole	म्बोल
Mbum	एमबीएम
Monumbo	मोनुम्बो
Mbara	एमबीरा
Mangbetu	मंगबेटु
Manambu	मानम्बु
Mbay	Mbay
Mbe'	Mbe '
Maca	मैका
Mochica	मोचिका
Macedonian	मैसेडोनियन
Michif	मिचिफ
Machiguenga	माचिगुआंगा
Macuna	मैकूना
Mixe	मिसे
Mauritian Creole	मॉरीशस क्रियोल
Miwok	मिवोक
Mada	माडा
Mudburra	मुदबरा
Mende	मेंड
Mundang	मुंडंग
Mandinka	मंदिंका
Matngele	Matngele
Madimadi	मदिमदी
Mandan	मंडन
Mbodomo	मबोडोमो
Madurese	मदुरासी
Manadonese	मैनाडोनीस
Mbosi	मबोसि
Mada	माडा
Meyah	मैया
Melayu Betawi	मेलयौ बेटावी
Me'en	मैं
Mehri	मेहरी
Meithei	मीठी
Mekens	मीकेन
Melanau	मेलानू
Manem	मनम
Menomini	मेनोमिनी
Meryam Mir	मेरियम मीर
Menya	मेन्या
Mondunga	मोंडुंगा
Mongondow	Mongondow
Mangghuer	मँगरू
Magahi	मगही
Magi	मैगी
Mungaka	मुनगाका
Mingrelian	मिंग्रेलियन
Magindanao	मगिंदानाओ
Mongo	मानगो
Mango	आम
Musgu	मुसगु
Mahican	महकान
Marathi	मराठी
Mehek	महक
Miri	मिरी
Mah Meri	मह मेरी
Mbalanhu	मलबनहु
Micmac	माइमैक
Midob	Midob
Mien	मियां
Migama	मिगामा
Miisiirii	मिसीसिर
Miju	मिजू
Mikir	मिकिर
Milang	मिलांग
Minangkabau	मिनंगकबाउ
Miriwung	मिरिवंग
Miskito	मिस्किटो
Mituku	मितुकु
Miya	मिया
Mizo	मिजो
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Manjaku	मंजाकु
Mauka	मौका
Miwok	मिवोक
Makonde	माकंडे
Mekeo	मेकेओ
Mandinka	मैंडिन्का
Mongol	मंगोल
Mikasuki	मिकासुकी
Makasae	मकासे
Maklew	मकलेव
Mankanya	मनकन्या
Mokilko	मोकिलको
Mankon	मैनकॉन
Mikarew	मकारेव
Makassar	मकसर
Maranungku	मारनंगकु
Makaa	मका
Mambila	मांबिला
Malacca Creole	मलक्का क्रियोल
Maale	माले
Malgwa	मालगावा
Mali	माली
Malakmalak	मालामालक
Molala	मोलाला
Mlabri	मलबरी
Maltese	माल्टीज़
Maleu	मािलु
Malay	मलय
Mandaic	मंदिक
Mangap-Mbula	मंगप-एमबीूला
Mari	मारी
Mambai	माँबाई
Mamanwa	मामनवा
Mordvin	मोर्डविन
Mampruli	ममप्रुली
Mamasa	ममसा
Malay	मलय
Mamvu	मामवु
Mambwe	मेम्बवे
Muna	मुन्ना
Manchu	मांचू
Mandarin	मंदारिन
Maidu	मैदान
Manggarai	मंगरगाई
Moni	मोनी
Mantjiltjara	मंतजिल्टजारा
Maninka	मणिन्का
Manam	मनम
Mono	मोनो
Mandar	मंदार
Mansi	मानसी
Mentawai	मेंतवई
Mun	मुन
Minaveha	मिनावेहा
Manx	मैनक्स
Margany	मार्गणी
Munzombo	मुंजोमबो
Mono-Alu	मोनो- अलु
Moca	मोका
Mordvin	मोर्डविन
Mofu-Gudur	मोफू-गुदुर
Moghol	मोगल
Mohawk	मोहॉक
Mojave	मोजावे
Mokilese	Mokilese
Moldavian	मोलदावियन
Mombum	मोम्बम
Mon	सोमवार
Mopan	मोपान
Mor	मोर
Motuna	मोटूणा
Moru	मोरु
Movima	मूवमा
Murrinh-Patha	मुरिन्ह-पाठ
Mpongwe	Mpongwe
Maipure	महीप
Mian	मियां
Mpur	एमपुर
Mapoyo	माप्यो
Martinique Creole	मार्टिनिक क्रियोल
Momuna	मोमुना
Mara	मारा
Marchha	मरघट
Marind	मारिंड
Margi	मार्गी
Marrithiyel	Marrithiyel
Moraori	मोरौरी
Mirniny	चमत्कारी
Murik	मुरिक
Murle	मुरले
Maranao	मारनाओ
Moro	मोरो
Marquesan	मैरिकसन
Maringarr	मैरिंग
Mairasi	मायरासी
Martuthunira	मारुथुनीरा
Maru	मारू
Muruwari	मुरुवारी
Muisca	मुइस्का
Munsee	मुन्से
Mising	Mising
Marshallese	मार्शल
Masakin	मसकिन
Masalit	मसलित
Musom	मुसोम
Maisin	मैिसन
Musqueam	कस्तूरी
Miwok	मिवोक
Magar	मगर
Mentuh Tapuh	मेंतुह तपु
Matuumbi	मटुंबी
Montagnais	मोंटगैनिस
Mixe	मिसे
Matukar	मटुकर
Mattole	मटोल
Malto	माल्टो
Mixe	मिक्स
Matis	मैटिस
Massachusett	नरसंहार
Motu	मोटू
Makua	मकुआ
Mundani	मुंडनी
Bargam	बड़गाम
Muher	मुहेर
Muinane	मुिनने
Mulao	मुलओ
Mumuye	मुमुई
Mundari	मुंडारी
Muong	मूंग
Mupun	मुपुन
Mursi	मुर्सी
Mussau	मुसौ
Mutsun	मुत्सुन
Muyuw	Muyuw
Martu Wangka	मार्टू वांगका
Manobo	मानोबो
Mawchi	मवची
Mwera	मेवेरा
Miwok	मिवोक
Miwok	मिवोक
Mwotlap	Mwotlap
Miwok	मिवोक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Ifira-Mele	इफिरा-मेले
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Mixe	मिसे
Mixtec	मिक्सटेक
Mixtec	मिक्सटेक
Ma'ya	माया
Mayogo	मयोगो
Mangarrayi	मंगरेरी
Malay	मलय
Malayalam	मलयालम
Ma'anyan	मै’यान
Mayo	मेयो
Mayi-Yapi	माया-यपी
Mazatec	माज़ेटेक
Mazatec	मजतेक
Mazanderani	माज़ंदरानी
Neo-Aramaic	नव-अरामिक
Nabak	नबक
Nafaanra	नफनरा
Nagatman	नागतमान
Nahali	नाहली
Nanai	नानाइ
Neo-Aramaic	नव-अरामिक
Nakanai	नकनई
Nalik	नलिक
Namia	नामिया
Nandi	नंदी
Neo-Aramaic	नव-अरामिक
Nara	नारा
Nasioi	नासियोइ
Natchez	नाचेज़
Nauruan	नौरुण
Navajo	नवाजो
Naxi	नक्सी
Nambas	नंबास
Nubian	न्युबियन
Ngombe	Ngombe
Ghulfan	घुलना
Ngbaka	Ngbaka
Nyambo	Nyambo
Nicobarese	निकोबारिस
Ndebele	Ndebele
Nande	ननदे
Ndogo	एनडोगो
Ngbandi	नगबंधी
Ndonga	नडोंगा
Nadroga	नाद्रोगा
Ndut	नाडू
Ndumu	नडुमु
Ndyuka	निदुका
Nederlandse Gebarentaal	नेदरलैंड्स गेबरेंटल
Negidal	नकारात्मक
Nehan	नेह
Nelemwa	नेलेमवा
Nenets	नेनेट्स
Nepali	नेपाली
Nevome	नेवोम
Newari	नेवारी
Neyo	पूर्वोत्तर यो
Nez Perce	नेज परसे
Nganasan	नगनसन
Ngbaka	Ngbaka
Ngad'a	नगाड़ा
Ngemba	Ngemba
Ngan'gityemerri	नगन'गीतमेरी
Ngiyambaa	Ngiyambaa
Ngadjumaja	नगदजुमाजा
Ngankikurungkurr	नगानिकिकुरंगकर्क
Ngalakan	नगालकन
Ngambay	Ngambay
Ngandi	नगंडी
Ngoni	Ngoni
Ngarinyeri	नार्जीनेरी
Naga	नागा
Nguna	नगुना
Ngawun	Ngawun
Ngarinyman	नर्गिनिमन
Ngizim	Ngizim
Nhanda	नन्दा
Nahuatl	नाहुताल
Nahuatl	नाहुताल
Nahuatl	नहाहालत
Nahuatl	नाहुताल
Nahuatl	नाहुताल
Nahuatl	नहलत्ल
Nahuatl	नहाहालत
Nahuatl	नाहुताल
Nias	नियास
Nicobarese	निकोबारी
Niuafo'ou	नुआफो
Nihon Shuwa	निहोन शुवा
Nimboran	निंबोरन
Ningil	निंगिल
Nyishi	निशि
Nitinaht	नितिनहाट
Niuean	नीयन
Nivkh	निवाख
Nyungar	न्यांगर
Ngalkbun	मंगलकबुन
Nkem	Nkem
Nakkara	नक्कारा
Nkonya	नकोनिआ
Nkore-Kiga	नकोर-किगा
Nukuoro	नुकोरो
Nyah Kur	न्यह कुर
Nubian	न्युबियन
Ngarla	नगला
Ngarluma	नंगलुमा
Nyamal	न्यामल
Naga	नागा
Samo	समो
Nahuatl	नाहुतल
Manange	मानंगे
Nahuatl	नाहुलात
Nancowry	नानकौरी
Nend	निंद
Nengone	नेंगोन
Nyanga	न्यांगा
Nankina	नानकिना
Nanumea	नानूमीया
Nuni	नूनी
Nanticoke	Nanticoke
Nobiin	नौबिन
Nocte	निशाचर
Noghay	नघाय
Noghay	नोगेय
Nomatsiguenga	नोमत्सिगुन्गा
Noni	नोनी
Noon	दोपहर
Norwegian	नॉर्वेजियन
Nahuatl	नाहुताल
Nar-Phu	नर-फु
Nigerian Pidgin	नाइजीरियाई पिजिन
Naga Pidgin	नागा पिदगिन
Napu	नपु
Nanerge	नानगर
Narom	Narom
Nharo	नहरो
Nsenga	सत्संग
Nisgha	निसघा
Naskapi	नस्कापी
Nisenan	निसेन
Neo-Aramaic	नव-अरामिक
Nahuatl	नाहुतल
Ngiti	Ngiti
Ngaanyatjarra	नागान्यतजार
Nateni	नटनी
Ntomba	Ntomba
Nenets	नेनेट
Nuaulu	नुआलु
Nubi	नुबी
Nuer	नुअर
Nunggubuyu	नुंगगुब्यु
Nukak	नुक्कड़
Nung	नंग
Nupe	नुपे
Nusu	Nusu
Nuuchahnulth	नूचाहनुलथ
Nivkh	निवख
Newar	नेवार
Nyawaygi	नयवेगी
Nyangi	न्यांगी
Nyiha	नइहा
Nyimang	न्यामंग
Nyamkad	न्यामकद
Nyamwezi	Nyamwezi
Nyigina	Nyigina
Nyangumarda	न्यांगुमर्दा
Nyulnyul	Nyulnyul
Nzakara	नजकारा
Naga	नागा
New Zealand Sign Language	न्यूजीलैंड सांकेतिक भाषा
Ogbronuagum	ओबरगोनुगम
Obokuitai	ओबोकिटाई
Obolo	ओबोलो
Ocaina	Ocaina
Occitan	फूल
Ocuilteco	Ocuilteco
Ogbia	Ogbia
Oi	ओय
Oirat	ओिरत
Ojibwa	ओजीबावा
Ojibwe	ओजीब्वे
Ojibwa	ओजीबवा
Okanagan	ओकानगन
Oriya	उड़िया
Oksapmin	ओक्सापिन
Oku	ठीक है
Oloh Mangtangai	ओलोह मंगतंगई
Olo	ओलो
Olutec	ओलुटेक
Omagua	ओमगुआ
Omaha	ओमाहा
Oneida	वनइडा
One	एक
Onge	ओनगे
Onondaga	ओंडोंगा
Ono	ओनो
O'odham	ओयोदम
Emai	Emai
Oromo	ओरोमो
Oroch	ओरच
Ordos	आयुध
Oromo	ओरोमो
Orig	मूल
Orok	ओरोक
Orokolo	ओरोकलो
Ormuri	ओरमुरी
Orokaiva	ओरोकाइवा
Oromo	ओरोमो
Orya	ओरी
Osage	ओसेज
Ossetic	ओस्सेटिक
Oto	ओटो
Otoro	ओटोरो
Oromo	ओरोमो
Owininga	मालिकाना
Oriya	ओरिया
Pa'a	पा ’
Pacoh	पचोह
Padoe	पादो
Pagu	पगु
Paiwan	पावन
Pakanha	पखाना
Palauan	पलौआँ
Pame	पमे
Panjabi	पंजाबी
Papiamentu	पापमुन्टु
Patep	Patep
Pawaian	पावियन
Pima Bajo	पीमा बाजो
Poqomam	पूकोम
Folopa	फूलोपा
Pech	जोंक
Pemon	उपमा
Pengo	पेंगो
Pero	पेरो
Pingilapese	पिंगिलपेस
Phlong	लम्बा
Piaroa	पियरौआ
Pileni	पिलानी
Pintupi	पिंटुपी
Pipil	पिपील
Piro	पीरो
Pisa	पीसा
Pitjantjatjara	पीतजंतजतारा
Paakantyi	पाकांति
Pokot	पोकोट
Playero	Playero
Polabian	Polabian
Palaung	पलांग
Paulohi	पौलोही
Palikur	पालिकुर
Pulopetak	पुलोपेटक
Palor	पालोर
Pomo	पोमो
Pomo	पोमो
Pomo	पोमो
Paamese	पैमसे
Pamona	पामोना
Pangwa	पंगवा
Pangasinan	पंगासिनन
Paiute	पाय्यूट
Panare	पनारे
Bunu	बून
Panyjima	पञ्जीमा
Po-Ai	पो- ऐ
Podoko	पोडोको
Pogoro	पोगोरो
Pohnpeian	पोनपियान
Poko-Rawo	पोको-रावो
Polish	पोलिश करना
Popoloca	पॉपोलोका
Portuguese	पुर्तगाली
Potawatomi	पोटावाटोमी
Powhatan	पावतान
Piapoco	पियापोको
Pitta Pitta	पित्त पित्त
Prasuni	प्रसूनि
Paresi	पारसी
Parji	पारजी
Pare	पारे
Purki	पुरकी
Persian	फारसी
Piratapuyo	पिरतापुयो
Pashto	पश्तो
Popoloca	पॉपोलोका
Plains-Indians Sign Language	मैदान-भारतीय सांकेतिक भाषा
Passamaquoddy-Maliseet	पासमाक्कोड्डी-मालिसेट
Pomo	पोमो
Popoloca	पॉपोलोका
Port Sandwich	पोर्ट सैंडविच
Paita	पैता
Paite	पाइते
Patpatar	पटपतर
Pattani	पटरानी
Patwin	पटविन
Puinave	पुनाइवे
Parauk	पारुक
Puluwat	पुलुवत
Pumi	पुमी
Pungupungu	पुंगुपुंगु
Puquina	पुक्विना
Paiute	पाय्यूट
Pawnee	पावनी
Qafar	कफर
Quechua	क्वेशुआ
Qawasqar	कवसकर
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Qiang	किआंग
Quechua	क्वेशुआ
Quechua	क्वेशुआ
Quechan	क्वैश्चन
Quileute	वशीकरण
Sipakapense	सिपाकैपेंस
Rade	राड
Raga	राग
Ralte	राल्ते
Rama	राम अ
Rao	राव
Rapanui	रापानुई
Rashad	राशद
Romani	रोमानी
Rawang	रावंग
Romani	रोमानी
Romani	रोमानी
Russian-Chinese Pidgin	रूसी-चीनी पिजिन
Rejang	रेजांग
Remo	रेमो
Rendille	रेंडिल
Ronga	रोंगा
rGyalrong	rGyalrong
Roglai	रोजलाई
Riantana	रियानाटाना
Rikbaktsa	रिकाबकट्स
Rimi	रिमी
Ritharngu	रिठारंगु
Raji	राजी
Romani	रोमानी
Romani	रोमानी
Rembarnga	रेम्बर्गा
Romansch	रोमन
Rundi	रंडी
Rengao	रेंगाओ
Rennellese	Rennellese
Romani	रोमानी
Runyankore	धावनकोर
Romanian	रोमानियाई
Ron	रॉन
Roro	रोरो
Rotuman	रोटमन
Roviana	रोवियाना
Rang Pas	रंग पस
Runyoro-Rutooro	रनयोरो-रूतूरो
Romansch	रोमान्श
Romani	रोमानी
Shughni	शुगनी
Russian Sign Language	रूसी सांकेतिक भाषा
Romansch	रोमन्सच
Romansch	रोमन्सच
Roti	रोटी
Rotokas	रोटोकस
Rukai	रुकाई
Rumu	रमू
Runga	रूंगा
Russian	रूसी
Rutul	रुतुल
Rawa	रवा
Romani	रोमानी
Shuri	शुरी
Sa'a	सा’आ
Sa'ban	सा'बन
Saek	सैक
Sahu	साहू
Sakao	सको
Salinan	सालिनन
Samoan	समोआ
Sango	सांगो
Saho	साहो
Sapuan	सपुआन
Sare	सरे
Savi	सवि
Sawu	सवु
Sayula Popoluca	सयुला पोपुलुका
Sama	साम
Saanich	सानीच
Serbian-Croatian	सर्बियाई-क्रोएशियाई
Saami	सामी
Sindhi	सिंधी
Sandawe	संडावे
Southeast Ambrym	दक्षिणपूर्वी राजवंश
Sebei	सेबी
Secoya	सिकोया
Sedang	सेडंग
Seediq	सीडीक
Selknam	सेल्कनाम
Sema	सेमा
Sena	सेना
Seri	सीरी
Sesotho	सेसोथो
Seychelles Creole	सेशेल्स क्रियोल
Sougb	सौबग
Songe	संगा
Sengele	सेनेगल
Sangir	संगीर
Songish	गीत
Sangu	संगु
Shan	शां
Shabo	शब्बो
Sherdukpen	शेरडुकपेन
Sherpa	शेरपा
Sharanahua	शरणाहुआ
Shiriana	शिरियाना
Shipibo-Konibo	शिपिबो-कोनिबो
Shilluk	शिलुक
Shambala	शम्बाला
Shona	शोना
Shoshone	Shoshone
Sahaptin	सहपटन
Shor	शोर
Shasta	शास्ता
Shatt	शट्ट
Shuswap	Shuswap
Shawnee	शावनी
Shira Yughur	शीरा युघुर
Siane	सियान
Sidaama	सिदामा
Sika	सिका
Sila	सिला
Simeulue	Simeulue
Siona	सिओना
Sio	सियो
Siar	सियार
Sisiqa	सिसिक्का
Siuslaw	स्यूस्लाव
Saami	सामी
Sikkimese	सिक्किमीज
Sikule	सिकुले
Sukuma	सुकुमा
Skou	स्कौ
Selkup	सेलकूप
Sikaritai	सिकरायताई
Suku	सुकु
Shekhawati	शेखावाटी
Slave	दास
Saliba	सलिबा
Samba Leko	सांभा लेको
Sulung	सुलुंग
Slovene	स्लोवेनिया
Selepet	सेलेपेट
Salar	सालार
Slavey	गुलाम
Selayar	सेलयार
Semandang	सेमलंग
Seme	वीर्य
Semai	सेमाई
Semelai	सेमलई
Seminole	सेमिनोल
Shompen	धूमिल करना
Sahaptin	सहपटन
Shina	शिन
Seneca	सेनेका
Senadi	सेनाडी
Sinaugoro	सिनागोरो
Sinhala	सिंहल
Sanuma	सानुमा
Soninke	सोनिन्के
Saami	सामी
Sentani	संतानी
So	इसलिए
Sobei	सोबी
Soddo	सोडो
Solon	सोलन
Somali	सोमाली
Sonsorol-Tobi	सोंसरोल-तोबी
Sooke	सूके
Soqotri	सोकोत्री
Sora	सोरा
Sorbian	सॉर्बियन
Spanish	स्पैनिश
Spanish	स्पेनिश
Spitian	स्पिटियन
Spokane	बोला हुआ
Salish	सलिश
Squamish	स्क्वामिश
Sranan	सरनान
Sorbian	सोरबियन
Sarcee	सरसे
Sardinian	सरदीन
Sre	श्री
Siriano	सिरियानो
Sorbian	सॉर्बियन
Saramaccan	Saramaccan
Siroi	सिरोई
Serrano	सेरानो
Selaru	सेलारु
Siraya	सिरया
Sisaala	सिसाला
Shinassha	शिनशाह
South Korean Sign Language	दक्षिण कोरियाई सांकेतिक भाषा
Salish	सलीश
Salish	सलीश
Santa	संता
Stieng	स्टेंग
Santali	संताली
Sotho	सोथो
Stoney	पथरीली
Subiya	सुबिया
Sudest	अचानक
Suena	सुएना
Sungor	सुंगोर
Sui	सुई
Suki	सूकी
Sulka	सुलका
Mayangna	मयंगना
Sundanese	सुंदनी
Supyire	सुपरिअर
Sursurunga	सुरसुरंगा
Susu	सुसु
Svan	सवन
Slovincian	नारा लगाने वाला
Slovak	स्लोवाक
Savosavo	सावोसावो
Swahili	स्वाहिली
Swedish	स्वीडिश
Sawai	सवाई
Shoshone	Shoshone
Swati	स्वाति
Swedish	स्वीडिश
Saryg Yughur	सरग युघुर
Salt-Yui	नमक-युई
Taba	तबा
Tacana	तचना
Taiof	तैफ
Tagalog	जुगनुओं का
Tahitian	ताहिती
Tuareg	तुआरेग
Tajik	ताजिक
Takia	तकिया
Talinga	बात करना
Tamang	तमांग
Tangale	तांगेले
Tarao	तारो
Taiap	तायाप
Tariana	तरियाना
Tashlhiyt	तशलीह
Tatana'	ताताना '
Tauya	तौया
Tawala	तावला
Tayo	तयो
Talysh	तलायश
Tabare	तबरेज
Tabla	तबला
Tboli	तबोली
Tabaru	तबरू
Tabassaran	तबरसन
Tobati	तोबाती
Tubu	टूबू
Tabwa	तबवा
Tangbe	टंगबे
Tarahumara	तराहुमारा
Toda	टोडा
Tibetan	तिब्बती
Tibetan	तिब्बती
Tectiteco	टेक्टिटको
Tepehua	तेपेहुआ
Tehuelche	तेहुलेच
Telugu	तेलुगु
Tem	अस्थायी
Tennet	टेनीट
Teop	बाघ
Tepehua	टेपेहुआ
Tera	तेरा
Teso	टेसू
Tetela	टेटेला
Tewa	टेवा
Turkic	तुर्किक
Tangga	तंगगा
Tagbanwa	तगबानवा
Tuareg	तुआरेग
Tigak	तिगाक
Tshangla	सहंगला
Tugun	तुगुन
Tsogo	त्सोगो
Tanglapui	तंगलापुई
Tarangan	तरंग
Thai	थाई
Thadou	ठाडौ
Thakali	ठकाली
Thangmi	थंगमी
Thompson	थॉम्पसन
Thaypan	थिपन
Thai Sign Language	थाई सांकेतिक भाषा
Tehit	तेहिट
Thulung	थुलुंग
Thao	थाओ
Kuuk Thaayorre	कुआक थायोर्रे
Tima	तिमा
Tibetan	तिब्बती
Ticuna	टिकुना
Tidore	टिडोर
Tifal	टिफ़ल
Tigrinya	बाघिन
Tikar	टिकर
Tillamook	तिलमुक
Timugon	टिमुगन
Tinrin	तिनिन
Tiriyo	तिरियो
Tibetan	तिब्बती
Tiv	तिव
Tiwi	तिवारी
Tiipay	तिपाई
Tokelauan	टोकेलुआन
Tuki	तुकी
Takelma	तकलमा
Turkmen	तुर्कमान
Teke	टेक
Tolai	तोलाई
Tatar-Noghay	तातार-नोगाय
Talaud	तालुद
Telefol	टेलीफ़ॉल
Tlingit	तलिंग
Taulil	तालिल
Tobelo	टोबेलो
Tlapanec	तल्पापेक
Talysh	तलिश्
Tama	तम ु
Timucua	टिमुकुआ
Tamagario	तमागारियो
Tatar	तातार
Tumak	तुमक
Tamil	तमिल
Tamabo	तमाबो
Temein	तेमीं in
Tibetan	तिब्बती
Tampulma	तम्पुलमा
Temiar	तेमियार
Tommo So	तोमो तो
Tat	टाट
Turkana	तुर्काना
Tunebo	टुनबो
Tanacross	तनाक्रॉस
Tindi	टिंडी
Temne	टेमने
Tongan	टोंगन
Tinani	तिनानी
Tanaina	तनैना
Tungak	तुंगक
Tanana	तन्ना
Tunen	ट्यून
Tondano	टोंडानो
Tanna	तन्ना
Tontemboan	टोंटेमोबन
Tenyer	किरायेदार
Toaripi	तोरईपी
Toba	टोबा
Tod	टॉड
Tofa	टोफा
Tojolabal	तजोलबल
Tarok	तारक
Tol	तोल
Tonkawa	टोंकवा
Toqabaqita	तोकबाकिता
Totonac	टोटोनैक
Totonac	टोटोनैक
Southern Toussian	सदर्न टूसियन
Tasmanian	तस्मानी
Tonga	टोंगा
Totonac	टोटोनैक
Tepecano	टेपकोनो
Tok Pisin	टोक पिसिन
Tepehuan	तेपहुआन
Tupuri	तुपुरी
Tepehuan	तेपहुआन
Teribe	टेरिबे
Trique	ट्राइक
Toraja	तोराजा
Tewa	तेवा
Trique	ट्राइक
Tirmaga	तिर्मगा
Tairora	तियोरा
Ternate	टर्ननेट
Trumai	ट्रुमाई
Torwali	तोरवाली
Tiruray	तिरुरे
Tsakhur	त्सखुर
Timorese	तिमोरिस
Tsafiki	त्सफिकी
Tausug	तासुग
Tsimshian	त्सिमिशियन
Tewa	तेवा
Tamashek	तमाशेख
Tanzania Sign Language	तंजानिया सांकेतिक भाषा
Tasmanian	तस्मानियन
Tsonga	सोंगा
Tsou	त्सौ
Tamil	तमिल
Taushiro	तौसीरो
Tsat	ज़ात
Tswana	त्सवना
Tsez	त्सेज़
Tatar	तातार
Tetun Dili	टेटुन डिलि
Tutelo	टूटेलो
Tetun	टेटुन
Tati	ताती
Tsova-Tush	त्सुवा-तुष
Tatuyo	तात्युओ
Tuamotuan	तुआमोटुआन
Tubar	कंद
Tucano	टूसनो
Tuareg	तुआरेग
Tukang Besi	तुकंग बेसी
Tulu	तुलु
Tumleo	टूमले
Tunica	टुनिका
Tupi	तुपी
Turkish	तुर्की
Tuscarora	टस्करोरा
Tutchone	Tutchone
Tuvan	तुवन
Tuyuca	तुयुका
Tuvaluan	तुवालुअन
Tatar	तातार
Tutsa	टुट्टा
Twana	ट्वाना
Tarahumara	तराहुमारा
Tiwa	तिवा
Tiwa	तिवा
Turkic	तुर्किक
Totonac	टोटोनैक
Tyeraity	क्षीणता
Tzeltal	त्ज़ेल्टल
Tzeltal	टज़्टटल
Taiwanese Sign Language	ताइवान की सांकेतिक भाषा
Tzotzil	तज़ोट्ज़िल
Tzeltal	त्ज़ेल्टल
Tzutujil	तजुत्जिल
Ubykh	उबख
Udihe	उडीहे
Udi	उदी
Udmurt	उम्मेद
Ugandan Sign Language	युगांडा साइन लैंग्वेज
Uradhi	उरदी
Ukrainian	यूक्रेनी
Upper Kuskokwim	अपर कुस्कोकविम
Ulcha	उल्चा
Uldeme	उल्डेमे
Ulithian	यूलिथियन
Uma	उमा
